"Category","SubCategory","RuleCount","RuleCountByLevel","DefaultSetting","CurrentSetting","RecommendedSetting","Volume","Note"
"Security Advanced (Object Access)","Detailed File Share","21","critical:1, high:11, medium:8, low:0, info:1","No Auditing","No Auditing","No Auditing","Very high for file servers and DCs, however, may be necessary if you want to track who is accessing what files as well as detect various lateral movement","Due to the high noise level. Enable if you can though"
"Security Advanced (Object Access)","File Share","3","critical:0, high:1, medium:0, low:1, info:1","No Auditing","Success and Failure","Success and Failure","High for file servers and DCs",""
"Security Advanced (Object Access)","File System","24","critical:3, high:7, medium:12, low:2, info:0","No Auditing","No Auditing","Enable","Depends on SACL rules","Enable SACLs just for sensitive files"
"Security Advanced (Object Access)","Filtering Platform Connection","59","critical:2, high:26, medium:23, low:4, info:4","No Auditing","Success and Failure","Success and Failure","High","Success and Failure if you have enough space and are not monitoring network connections with sysmon. This should cause a high amount of events though"
"Security Advanced (Object Access)","Filtering Platform Packet Drop","0","critical:0, high:0, medium:0, low:0, info:0","No Auditing","No Auditing","Success and Failure","High","for AD CS role servers"
"Security Advanced (Object Access)","Kernel Object","24","critical:3, high:7, medium:12, low:2, info:0","No Auditing","No Auditing","Success and Failure","High if auditing access of global object access is enabled","Success and Failure but do not enable Audit the access of global system objects as you will generate too many 4663: Object Access events"
"Security Advanced (Object Access)","Handle Manipulation","1","critical:0, high:0, medium:1, low:0, info:0","No Auditing","No Auditing","Success and Failure","High",""
"Security Advanced (Object Access)","Other Object Access Events","13","critical:2, high:5, medium:2, low:2, info:2","No Auditing","Success and Failure","Success and Failure","Low",""
"Security Advanced (Object Access)","Registry","293","critical:14, high:151, medium:112, low:15, info:1","No Auditing","No Auditing","Success and Failure","Depends on SACLs","Set SACLs for only the registry keys that you want to monitor"
"Security Advanced (Object Access)","Removable Storage","23","critical:3, high:7, medium:11, low:2, info:0","No Auditing","Success and Failure","Success and Failure","Depends on how much removable storage is used","if you want to monitor external device usage"
"Security Advanced (Object Access)","SAM","3","critical:0, high:2, medium:1, low:0, info:0","No Auditing","Success and Failure","Success and Failure","Success and Failure if you can but may cause too high volume of noise so should be tested beforehand","for AD CS role servers"
"Security Advanced (Policy Change)","Audit Policy Change","3","critical:0, high:1, medium:0, low:1, info:1","Success","Success and Failure","Success and Failure","Low",""
"Security Advanced (Policy Change)","Authentication Policy Change","1","critical:0, high:0, medium:1, low:0, info:0","Success","Success and Failure","Success and Failure","Low",""
"Security Advanced (Policy Change)","Authorization Policy Change","1","critical:0, high:1, medium:0, low:0, info:0","No Auditing","No Auditing","","Medium to High",""
"Security Advanced (Policy Change)","Filtering Platform Policy Change","2","critical:0, high:2, medium:0, low:0, info:0","No Auditing","No Auditing","","Low",""
"Security Advanced (Policy Change)","MPSSVC Rule-Level Policy Change","0","critical:0, high:0, medium:0, low:0, info:0","No Auditing","No Auditing","","Low",""
"Security Advanced (Policy Change)","Other Policy Change Events","2","critical:0, high:2, medium:0, low:0, info:0","No Auditing","Success and Failure","No Auditing ","Low","ACSC recommends Success and Failure, however, this results in a lot of noise of 5447 (A Windows Filtering Platform filter has been changed) events being generated"
"Security Advanced (Privilege Use)","Non-Sensitive Privilege Use","6","critical:0, high:1, medium:4, low:1, info:0","No Auditing","No Auditing","No Auditing","Very high",""
"Security Advanced (Privilege Use)","Sensitive Privilege Use","3","critical:0, high:1, medium:2, low:0, info:0","No Auditing","Success and Failure","Success and Failure","High","However, this may be too noisy"
"Security Advanced (System)","Other System Events","0","critical:0, high:0, medium:0, low:0, info:0","Success and Failure","Failure","","Low",""
"Security Advanced (System)","Security State Change","1","critical:0, high:0, medium:0, low:1, info:0","Success","Success and Failure","Success and Failure","Low",""
"Security Advanced (System)","Security System Extension","26","critical:1, high:17, medium:4, low:1, info:3","No Auditing","Success and Failure","Success and Failure","Low, but more on DCs",""
"Security Advanced (System)","System Integrity","4","critical:0, high:0, medium:0, low:3, info:1","Success and Failure","Success and Failure","Success and Failure","Low",""
"Security-Mitigations KernelMode","","2","critical:0, high:2, medium:0, low:0, info:0","Enabled","Enabled","Enabled","",""
"Security-Mitigations UserMode","","2","critical:0, high:2, medium:0, low:0, info:0","Enabled","Enabled","Enabled","",""
"SMBClient Security","","2","critical:0, high:0, medium:2, low:0, info:0","Enabled","Enabled","Enabled","",""
"System","","98","critical:8, high:43, medium:30, low:8, info:9","Enabled","Enabled","Enabled","",""
"TaskScheduler Operational","","9","critical:0, high:2, medium:2, low:1, info:4","Enabled","Enabled","Enabled","",""
"TerminalServices-LocalSessionManager Operational","","6","critical:0, high:1, medium:0, low:0, info:5","Enabled","Enabled","Enabled","",""
"WMI-Activity Operational","","7","critical:0, high:2, medium:2, low:0, info:3","Enabled","Enabled","Enabled","",""
"Windows Defender Operational","","28","critical:5, high:17, medium:3, low:2, info:1","Enabled","Enabled","Enabled","",""
