"title","level","service","category","description","id"
"PwSh Engine Started","informational","powershell-classic","ps_classic_start","Engine state is changed from None to Available.","ac2ae63b-83e6-4d06-aeaf-07409bda92c9"
"PwSh 2.0 Downgrade Attack","medium","powershell-classic","ps_classic_start","An attacker may have started Powershell 2.0 to evade detection.","bc082394-73e6-4d00-a9af-e7b524ef5085"
"Potential Malicious AppX Package Installation Attempts","medium","appxdeployment-server","","Detects potential installation or installation attempts of known malicious appx packages","8f46b318-b8a3-d268-911f-318d0b43c0f9"
"bXOR Operator Usage In PowerShell Command Line - PowerShell Classic","low","","ps_classic_start","Detects powershell execution with that make use of to the bxor (Bitwise XOR).
Attackers might use as an alternative obfuscation method to Base64 encoded commands.
Investigate the CommandLine and process tree to determine if the activity is malicious.
","8427e501-af53-a1ba-41a5-0b2d83e199fb"
"Uncommon PowerShell Hosts","medium","","ps_classic_start","Detects alternate PowerShell hosts potentially bypassing detections looking for powershell.exe","315f165d-92fd-170d-d80b-0f16f9cf5384"
"PowerShell Called from an Executable Version Mismatch","high","","ps_classic_start","Detects PowerShell called from an executable by the version mismatch method","b8c409c0-bd7a-5c05-0bae-56f88fe7b78d"
"Suspicious PowerShell Download","medium","","ps_classic_start","Detects suspicious PowerShell download command","d938bbb0-a745-c4fc-ce0d-eb5a006e6757"
"Nslookup PowerShell Download Cradle","medium","","ps_classic_start","Detects a powershell download cradle using nslookup. This cradle uses nslookup to extract payloads from DNS records.","11151659-80c2-7657-d058-2a07c5662662"
"Delete Volume Shadow Copies Via WMI With PowerShell","high","","ps_classic_start","Shadow Copies deletion using operating systems utilities via PowerShell","970cb6bc-a1b8-c7da-f658-ea96f2045162"
"Netcat The Powershell Version","medium","","ps_classic_start","Adversaries may use a non-application layer protocol for communication between host and C2 server or among infected hosts within a network","cc575689-20fe-0dda-ed3b-93e52d0d8ef1"
"Renamed Powershell Under Powershell Channel","low","","ps_classic_start","Detects a renamed Powershell execution, which is a common technique used to circumvent security controls and bypass detection logic that's dependent on process names and process paths.
","b1868902-0d34-3392-8d98-99c0919a01d4"
"Remote PowerShell Session (PS Classic)","low","","ps_classic_start","Detects remote PowerShell sessions","d79eda57-503a-274d-fab8-0d26ff047015"
"PowerShell Downgrade Attack - PowerShell","medium","","ps_classic_start","Detects PowerShell downgrade attack by comparing the host versions with the actually used engine version 2.0","05ab81d4-8539-cffc-89f9-e470468bb28c"
"Use Get-NetTCPConnection","low","","ps_classic_start","Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.","19bee8fa-b4db-79ab-2c60-ea8ae4875dcc"
"Possible CVE-2021-1675 Print Spooler Exploitation","high","printservice-admin","","Detects events of driver load errors in print service logs that could be a sign of successful exploitation attempts of print spooler vulnerability CVE-2021-1675","5c10c39e-b9f6-d321-3598-62095b34b663"
"CVE-2021-1675 Print Spooler Exploitation","critical","printservice-operational","","Detects driver load events print service operational log that are a sign of successful exploitation attempts against print spooler vulnerability CVE-2021-1675","ae207e8e-3dfd-bd05-1161-e0472778f2be"
"NTLM Auth","informational","security","","Logged when NTLM authentication is used usually for local accounts but NTLM can also be used with domain accounts. The original event title says it is only generated on domain controllers but that is not true. This also gets logged on clients.","4fbe94b0-577a-4f77-9b13-250e27d440fa"
"Valid Users Failing to Authenticate from Single Source Using NTLM","medium","security","","Detects failed logins with multiple valid domain accounts from a single source system using the NTLM protocol.","ddbbe639-21f9-7b39-ae7d-821e490d6130"
"Failed NTLM Logins with Different Accounts from Single Source System","medium","security","","Detects suspicious failed logins with different user accounts from a single source system","203aaec0-5613-4fdc-42b3-a021d6f853dc"
"Invalid Users Failing To Authenticate From Single Source Using NTLM","medium","security","","Detects failed logins with multiple invalid domain accounts from a single source system using the NTLM protocol.","bbd02091-a432-94b3-8041-9f776b681fc2"
"Hacktool Ruler","high","security","","This events that are generated when using the hacktool Ruler by Sensepost","8b40829b-4556-9bec-a8ad-905688497639"
"Account Tampering - Suspicious Failed Logon Reasons","medium","security","","This method uses uncommon error codes on failed logons to determine suspicious activity and tampering with accounts that have been disabled or somehow restricted.","655eb351-553b-501f-186e-aa9af13ecf43"
"Metasploit SMB Authentication","high","security","","Alerts on Metasploit host's authentications on the domain.","827aa6c1-1507-3f0a-385a-ade5251bfd71"
"Possible AS-REP Roasting (RC4 Kerberos Ticket Req)","medium","security","","For each account found without preauthentication, an adversary may send an AS-REQ message without the encrypted timestamp and receive an AS-REP message with TGT data which may be encrypted with an insecure algorithm such as RC4.","dee2a01e-5d7c-45b4-aec3-ad9722f2165a"
"Kerberos TGT Requested","informational","security","","Prints logon information.","d9f336ea-bb16-4a35-8a9c-183216b8d59c"
"Disabled Users Failing To Authenticate From Source Using Kerberos","medium","security","","Detects failed logins with multiple disabled domain accounts from a single source system using the Kerberos protocol.","c6c2c3e3-44ee-516c-9e48-63b304511787"
"Invalid Users Failing To Authenticate From Source Using Kerberos","medium","security","","Detects failed logins with multiple invalid domain accounts from a single source system using the Kerberos protocol.","74eaa0ee-05a7-86a5-a7a8-076952aa764d"
"Valid Users Failing to Authenticate From Single Source Using Kerberos","medium","security","","Detects multiple failed logins with multiple valid domain accounts from a single source system using the Kerberos protocol.","32ce2d24-3d1c-2f81-cddb-d64b33fe9247"
"PetitPotam Suspicious Kerberos TGT Request","high","security","","Detect suspicious Kerberos TGT requests.
Once an attacer obtains a computer certificate by abusing Active Directory Certificate Services in combination with PetitPotam, the next step would be to leverage the certificate for malicious purposes.
One way of doing this is to request a Kerberos Ticket Granting Ticket using a tool like Rubeus.
This request will generate a 4768 event with some unusual fields depending on the environment.
This analytic will require tuning, we recommend filtering Account_Name to the Domain Controller computer accounts.
","cd01c787-aad1-bbed-5842-aa8e58410aad"
"Kerberos Manipulation","high","security","","Detects failed Kerberos TGT issue operation. This can be a sign of manipulations of TGT messages by an attacker.","978525c2-97aa-f0e4-8c11-3cf81ea3379b"
"Possible Kerberoasting (RC4 Kerberos Ticket Req)","medium","security","","Adversaries may abuse a valid Kerberos ticket-granting ticket (TGT) or sniff network traffic to obtain a ticket-granting service (TGS) ticket that may be vulnerable to Brute Force.","f19849e7-b5ba-404b-a731-9b624d7f6d19"
"Kerberos Service Ticket Requested","informational","security","","Prints logon information.","da6257f3-cf49-464a-96fc-c84a7ce20636"
"Kerberoasting Activity - Initial Query","medium","security","","This rule will collect the data needed to start looking into possible kerberoasting activity.
Further analysis or computation within the query is needed focusing on requests from one specific host/IP towards multiple service names within a time period of 5 seconds.
You can then set a threshold for the number of requests and time between the requests to turn this into an alert.
","4386b4e0-f268-42a6-b91d-e3bb768976d6"
"Kerberos Manipulation","high","security","","Detects failed Kerberos TGT issue operation. This can be a sign of manipulations of TGT messages by an attacker.","978525c2-97aa-f0e4-8c11-3cf81ea3379b"
"Suspicious Kerberos RC4 Ticket Encryption","medium","security","","Detects service ticket requests using RC4 encryption type","2d20edf4-6141-35c5-e54f-3c578082d1d3"
"Computer Account Created","informational","security","","A computer account was created.","42a0a842-2b82-4b2d-8e44-5580fb6c38db"
"Potential Zerologon (CVE-2020-1472) Exploitation","high","security","","Detects potential Netlogon Elevation of Privilege Vulnerability aka Zerologon (CVE-2020-1472)","7d4b25c3-0cef-1638-1d47-bb18acda0e6c"
"Add or Remove Computer from DC","low","security","","Detects the creation or removal of a computer. Can be used to detect attacks such as DCShadow via the creation of a new SPN.","b607775d-e3fe-3fb8-c40e-4e52b3fbe44d"
"User Added To Non-Admin Global Grp","low","security","","User Added To Non-Admin Global Security Group. Only logged on DCs.","2f04e44e-1c79-4343-b4ab-ba670ee10aa0"
"User Added To Global Domain Admins Grp","high","security","","A user was added to the Domain Admins group. Only logged on DCs.","4bb89c86-a138-42a0-baaf-fc2f777a4506"
"User Added To Local Admin Grp","high","security","","A user was added to the local Administrators group. Unfortunately the user name does not get recorded in the log, only the SID, so you need to look up the username via the SID.","611e2e76-a28f-4255-812c-eb8836b2f5bb"
"User Added To Local Domain Admins Grp","high","security","","A user was added to the local Domain Admins group.","bc58e432-959f-464d-812e-d60ce5d46fa1"
"User Added To Global Security Grp","medium","security","","A user was added to a security-enabled global group. Global means the group can be granted access in any trusting domain but may only have members from its own domain. Subject user is the user that performed the action. Only logged on DCs.","0db443ba-561c-4a04-b349-d74ce1c5fc8b"
"Group Modification Logging","low","security","","Configure systems to issue a log entry and alert when an account is added to or removed from any group assigned administrative privileges.
Sigma detects
Event ID 4728 indicates a ""Member is added to a Security Group"".
Event ID 4729 indicates a ""Member is removed from a Security enabled-group"".
Event ID 4730 indicates a ""Security Group is deleted"".
The case is not applicable for Unix OS.
Supported OS - Windows 2008 R2 and 7, Windows 2012 R2 and 8.1, Windows 2016 and 10 Windows Server 2019, Windows Server 2000, Windows 2003 and XP.
","506379d9-8545-c010-e9a3-693119ab9261"
"User Added to Local Administrator Group","medium","security","","Detects the addition of a new member to the local administrator group, which could be legitimate activity or a sign of privilege escalation activity","6695d6a2-9365-ee87-ccdd-966b0e1cdbd4"
"A Security-Enabled Global Group Was Deleted","low","security","","Detects activity when a security-enabled global group is deleted","ae7d8d1c-f75b-d952-e84e-a7981b861590"
"A Member Was Added to a Security-Enabled Global Group","low","security","","Detects activity when a member is added to a security-enabled global group","26767093-828c-2f39-bdd8-d0439e87307c"
"A Member Was Removed From a Security-Enabled Global Group","low","security","","Detects activity when a member is removed from a security-enabled global group","6e0f860b-3678-7396-a4a3-7cf55f7bb01c"
"Operation Wocao Activity - Security","high","security","","Detects activity mentioned in Operation Wocao report","c9b5cb6f-906f-3a15-b77e-1b634b1d4e55"
"Potential Exploitation of CVE-2024-37085 - Suspicious ESX Admins Group Activity","high","security","","Detects any creation or modification to a windows domain group with the name ""ESX Admins"".
This could indicates a potential exploitation attempt of CVE-2024-37085, which allows an attacker to elevate their privileges to full administrative access on an domain-joined ESXi hypervisor.
VMware ESXi hypervisors joined to an Active Directory domain consider any member of a domain group named ""ESX Admins"" to have full administrative access by default.
","2a451b93-9890-5cfe-38aa-1dc4f8f0fe0a"
"Local User Account Created","low","security","","A local user account was created.","13edce80-2b02-4469-8de4-a3e37271dcdb"
"Hidden User Account Created","high","security","","A computer account (an account that ends with a $) was created. These accounts are not displayed by default so will be hidden.","70b8b1bd-c107-4b1a-8b1e-5b0f9f57930a"
"User Password Changed","medium","security","","A user account changed it's own password. Adversaries might change the password to lockout legitimate user or set the password to a known clear text passwort via Pass the Hash if only the password hash is known. This will allow an adversary to access services where Pass the Hash is not an option.","3b3046f3-a51c-4378-b059-c716aaa865b4"
"Password Reset By Admin","medium","security","","A user accounts password was changed by another account. The current password is not required to reset the password. An adversary might change the password of another account to lock out legitimate users or gain access to the account. This could be done if the account controlled by the attacker has permission to change the password, or as a step in attacks like Pass the Cert.","0b78aca4-35f0-4bec-acce-c5743ff26614"
"Hidden Local User Creation","high","security","","Detects the creation of a local hidden user account which should not happen for event ID 4720.","23013005-3d59-4dbe-dabd-d17a54e6c6cf"
"Local User Creation","low","security","","Detects local user creation on Windows servers, which shouldn't happen in an Active Directory environment. Apply this Sigma Use Case on your Windows server logs and not on your DC logs.
","5ecd226b-563f-4723-7a1e-d637d81f0a1f"
"Weak Encryption Enabled and Kerberoast","high","security","","Detects scenario where weak encryption is enabled for a user profile which could be used for hash/password cracking.","2ea71437-cb4d-5a41-2431-1773fce76de8"
"Addition of SID History to Active Directory Object","medium","security","","An attacker can use the SID history attribute to gain additional privileges.","5335aea0-f1b4-e120-08b6-c80fe4bf99ad"
"New or Renamed User Account with '$' Character","medium","security","","Detects the creation of a user with the ""$"" character. This can be used by attackers to hide a user or trick detection systems that lack the parsing mechanisms.
","ec77919c-1169-6640-23e7-91c6f27ddc91"
"Password Change on Directory Service Restore Mode (DSRM) Account","high","security","","Detects potential attempts made to set the Directory Services Restore Mode administrator password.
The Directory Service Restore Mode (DSRM) account is a local administrator account on Domain Controllers.
Attackers may change the password in order to obtain persistence.
","4592ea29-1b0e-0cc3-7735-b7f264c0a5b8"
"Suspicious Windows ANONYMOUS LOGON Local Account Created","high","security","","Detects the creation of suspicious accounts similar to ANONYMOUS LOGON, such as using additional spaces. Created as an covering detection for exclusion of Logon Type 3 from ANONYMOUS LOGON accounts.","e5c627ea-fa27-df99-0573-e47092dc4a98"
"Suspicious Computer Account Name Change CVE-2021-42287","high","security","","Detects the renaming of an existing computer account to a account name that doesn't contain a $ symbol as seen in attacks against CVE-2021-42287","17662114-5bee-2566-359c-68d830193830"
"Potential AD User Enumeration From Non-Machine Account","medium","security","","Detects read access to a domain user from a non-machine account","fe814c5a-505f-a313-7d8c-030187c24e8e"
"WMI Persistence - Security","medium","security","","Detects suspicious WMI event filter and command line event consumer based on WMI and Security Logs.","ec2275df-3a0a-933f-0573-490938cc47ef"
"AD Object WriteDAC Access","critical","security","","Detects WRITE_DAC access to a domain object","09c08048-5eab-303f-dfe3-706a6052b6f9"
"Active Directory Replication from Non Machine Account","critical","security","","Detects potential abuse of Active Directory Replication Service (ADRS) from a non machine account to request credentials.","5c8e2537-5c7f-56d8-de80-1f0746b61067"
"DPAPI Domain Backup Key Extraction","high","security","","Detects tools extracting LSA secret DPAPI domain backup key from Domain Controllers","c42c534d-16ae-877f-0722-6d6914090855"
"Mimikatz DC Sync","high","security","","Detects Mimikatz DC sync security events","daad2203-665f-294c-6d2f-f9272c3214f2"
"Logon Failure (Unknown Reason)","low","security","","Prints logon information.","a85096da-be85-48d7-8ad5-2f957cd74daa"
"Failed Logon - Non-Existent User","medium","security","","Detects a failed logon event due to an incorrect username","b2c74582-0d44-49fe-8faa-014dcdafee62"
"Logon Failure (User Does Not Exist)","low","security","","Prints failed logons","8afa97ce-a217-4f7c-aced-3e320a57756d"
"Logon Failure (Wrong Password)","low","security","","Prints logon information.","e87bd730-df45-4ae9-85de-6c75369c5d29"
"Failed Logon - Incorrect Password","medium","security","","Detects a failed logon event due to a wrong password","5b0b75dc-9190-4047-b9a8-14164cee8a31"
"User Guessing","medium","security","","Search for many 4625 failed logon attempts due to wrong usernames in a short period of time.","4574194d-e7ca-4356-a95c-21b753a1787e"
"PW Guessing","medium","security","","Search for many 4625 wrong password failed logon attempts in a short period of time.","35e8a0fc-60c2-46d7-ba39-aafb15b9854e"
"Multiple Users Remotely Failing To Authenticate From Single Source","medium","security","","Detects a source system failing to authenticate against a remote host with multiple users.","30e70d43-6368-123c-a3c8-d23309a3ff97"
"Multiple Users Failing to Authenticate from Single Process","medium","security","","Detects failed logins with multiple accounts from a single process on the system.","84202b5b-54c1-473b-4568-e10da23b3eb8"
"Failed Logins with Different Accounts from Single Source System","medium","security","","Detects suspicious failed logins with different user accounts from a single source system","428d3964-3241-1ceb-8f93-b31d8490c822"
"Interactive Logon to Server Systems","medium","security","","Detects interactive console logons to Server Systems","7298c707-7564-3229-7c76-ec514847d8c2"
"Potential Pass the Hash Activity","medium","security","","Detects the attack technique pass the hash which is used to move laterally inside the network","35890fd4-9ed3-b244-0eff-91fe61e52f8b"
"Hacktool Ruler","high","security","","This events that are generated when using the hacktool Ruler by Sensepost","8b40829b-4556-9bec-a8ad-905688497639"
"Account Tampering - Suspicious Failed Logon Reasons","medium","security","","This method uses uncommon error codes on failed logons to determine suspicious activity and tampering with accounts that have been disabled or somehow restricted.","655eb351-553b-501f-186e-aa9af13ecf43"
"Metasploit SMB Authentication","high","security","","Alerts on Metasploit host's authentications on the domain.","827aa6c1-1507-3f0a-385a-ade5251bfd71"
"Scanner PoC for CVE-2019-0708 RDP RCE Vuln","high","security","","Detects the use of a scanner by zerosum0x0 that discovers targets vulnerable to  CVE-2019-0708 RDP RCE aka BlueKeep","232ecd79-c09d-1323-8e7e-14322b766855"
"Failed Logon From Public IP","medium","security","","Detects a failed logon attempt from a public IP. A login from a public IP can indicate a misconfigured firewall or network boundary.","6bcac9cb-eeee-9f45-c5c1-0daaf023ac12"
"Logoff (User Initiated)","informational","security","","Prints logon information.","6bad16f1-02c4-4075-b414-3cd16944bc65"
