"Category","SubCategory","RuleCount","RuleCountByLevel","Enabled","Default","Recommended","Volume","Note"
"Security Advanced (Detailed Tracking)","RPC Events","0","critical:0, high:0, medium:0, low:0, info:0","False","No Auditing","Unknown. Needs testing","High on RPC servers (According to Microsoft)",""
"Security Advanced (Detailed Tracking)","Token Right Adjusted Events","0","critical:0, high:0, medium:0, low:0, info:0","False","No Auditing","Unknown. Needs testing","Unknown",""
"Security Advanced (DS Access)","Directory Service Access","9","critical:2, high:4, medium:3, low:0, info:0","False","Client OS: No Auditing | Server OS: Success","Client OS: No Auditing | ADDS Server: Success and Failure","High",""
"Security Advanced (DS Access)","Directory Service Changes","9","critical:0, high:5, medium:3, low:0, info:0","False","No Auditing","Client OS: No Auditing | ADDS Server: Success and Failure","High",""
"Security Advanced (Logon/Logoff)","Account Lockout","17","critical:0, high:3, medium:11, low:3, info:0","True","Success","Success and Failure","Low",""
"Security Advanced (Logon/Logoff)","Group Membership","0","critical:0, high:0, medium:0, low:0, info:0","False","No Auditing","No Auditing","Adds an extra 4627 event to every logon",""
"Security Advanced (Logon/Logoff)","Group Membership","4","critical:0, high:0, medium:0, low:0, info:4","True","No Auditing","No Auditing","Adds an extra 4627 event to every logon",""
"Security Advanced (Logon/Logoff)","Logon","55","critical:, high:9, medium:22, low:6, info:17","True","Client OS: Success | Server OS: Success and Failure","Success and Failure","Low on clients, medium on DCs or network servers",""
"Security Advanced (Logon/Logoff)","Other Logon/Logoff Events","4","critical:0, high:, medium:0, low:0, info:3","False","No Auditing","Success and Failure","Low",""
"Security Advanced (Logon/Logoff)","Special Logon","2","critical:0, high:0, medium:0, low:, info:0","True","Success","Success and Failure","Low on clients. Medium on DC or network servers",""
"Security Advanced (Object Access)","Certification Services","2","critical:0, high:, medium:0, low:, info:0","False","No Auditing","Success and Failure for AD CS role servers","Low to medium",""
"Security Advanced (Object Access)","Certification Services","21","critical:, high:11, medium:8, low:0, info:0","False","No Auditing","No Auditing due to the high noise level. Enable if you can though","Very high for file servers and DCs, however, may be necessary if you want to track who is accessing what files as well as detect various lateral movement",""
"Security Advanced (Object Access)","File Share","3","critical:0, high:, medium:0, low:, info:0","False","No Auditing","Success and Failure","High for file servers and DCs",""
"Security Advanced (Object Access)","File System","24","critical:3, high:7, medium:12, low:2, info:0","False","No Auditing","Enable SACLs just for sensitive files","Depends on SACL rules",""
"Security Advanced (Object Access)","Filtering Platform Connection","59","critical:2, high:26, medium:23, low:4, info:4","False","No Auditing","Success and Failure if you have enough space and are not monitoring network connections with sysmon. This should cause a high amount of events though","High",""
"Security Advanced (Object Access)","Filtering Platform Packet Drop","0","critical:0, high:0, medium:0, low:0, info:0","False","No Auditing","Success and Failure for AD CS role servers","High",""
"Security Advanced (Object Access)","Kernel Object","24","critical:3, high:7, medium:12, low:2, info:0","False","No Auditing","Success and Failure but do not enable Audit the access of global system objects as you will generate too many 4663: Object Access events","High if auditing access of global object access is enabled",""
"Security Advanced (Object Access)","Handle Manipulation","1","critical:0, high:0, medium:, low:0, info:0","False","No Auditing","Success and Failure","High",""
"Security Advanced (Object Access)","Other Object Access Events","13","critical:2, high:5, medium:2, low:2, info:2","False","No Auditing","Success and Failure","Low",""
"Security Advanced (Object Access)","Registry","293","critical:14, high:151, medium:112, low:15, info:0","False","No Auditing","Set SACLs for only the registry keys that you want to monitor","Depends on SACLs",""
"Security Advanced (Object Access)","Removable Storage","23","critical:3, high:7, medium:11, low:2, info:0","False","No Auditing","Success and Failure if you want to monitor external device usage","Depends on how much removable storage is used",""
"Security Advanced (Object Access)","SAM","3","critical:0, high:2, medium:, low:0, info:0","False","No Auditing","Success and Failure for AD CS role servers","Success and Failure if you can but may cause too high volume of noise so should be tested beforehand",""
"Security Advanced (Policy Change)","Audit Policy Change","3","critical:0, high:, medium:0, low:, info:0","True","Success","Success and Failure","Low",""
"Security Advanced (Policy Change)","Authentication Policy Change","1","critical:0, high:0, medium:, low:0, info:0","True","Success","Success and Failure","Low",""
"Security Advanced (Policy Change)","Authorization Policy Change","1","critical:0, high:, medium:0, low:0, info:0","False","No Auditing","Unknown. Needs testing","Medium to High",""
"Security Advanced (Policy Change)","Filtering Platform Policy Change","2","critical:0, high:2, medium:0, low:0, info:0","False","No Auditing","Unknown, Needs testing","Low",""
"Security Advanced (Policy Change)","MPSSVC Rule-Level Policy Change","0","critical:0, high:0, medium:0, low:0, info:0","False","No Auditing","Unknown, Needs testing","Low",""
"Security Advanced (Policy Change)","Other Policy Change Events","2","critical:0, high:2, medium:0, low:0, info:0","False","No Auditing","No Auditing (Note: ACSC recommends Success and Failure, however, this results in a lot of noise of 5447 (A Windows Filtering Platform filter has been changed) events being generated.)","Low",""
"Security Advanced (Privilege Use)","Non-Sensitive Privilege Use","6","critical:0, high:, medium:4, low:, info:0","False","No Auditing","No Auditing","Very high",""
"Security Advanced (Privilege Use)","Sensitive Privilege Use","3","critical:0, high:, medium:2, low:0, info:0","False","No Auditing","Success and Failure However, this may be too noisy","High",""
"Security Advanced (System)","Other System Events","0","critical:0, high:0, medium:0, low:0, info:0","True","Success and Failure","Unknown. Needs testing","Low",""
"Security Advanced (System)","Other System Events","1","critical:0, high:0, medium:0, low:, info:0","True","Success","Success and Failure","Low",""
"Security Advanced (System)","Security System Extension","26","critical:, high:17, medium:4, low:, info:3","False","No Auditing","Success and Failure","Low, but more on DCs",""
"Security Advanced (System)","System Integrity","4","critical:0, high:0, medium:0, low:3, info:0","True","Success and Failure","Success and Failure","Low",""
"Security-Mitigations KernelMode","","2","critical:0, high:2, medium:0, low:0, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"Security-Mitigations UserMode","","2","critical:0, high:2, medium:0, low:0, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"SMBClient Security","","2","critical:0, high:0, medium:2, low:0, info:0","True","Enabled. 8 MB","Enabled. 128 MB+","",""
"System","","97","critical:8, high:43, medium:29, low:8, info:9","True","Enabled. 20 MB","Enabled. 128 MB+","",""
"TaskScheduler Operational","","9","critical:0, high:2, medium:2, low:, info:4","True","Enabled. 1 MB","Enabled. 128 MB+","",""
"TerminalServices-LocalSessionManager Operational","","6","critical:0, high:, medium:0, low:0, info:5","True","Enabled. 1 MB","Enabled. 128 MB+","",""
"WMI-Activity Operational","","7","critical:0, high:2, medium:2, low:0, info:3","True","Enabled. 1 MB","Enabled. 128 MB+","",""
"Windows Defender Operational","","28","critical:5, high:17, medium:3, low:2, info:0","True","Enabled. 1 MB","Enabled. 128 MB+","",""
