"Rule title","level","id (hayabusa_rule)"
"Potential Active Directory Enumeration Using AD Module - PsModule","medium","043fe2ff-2844-9176-3d40-aa3bf3e794a6"
"Suspicious Get Information for SMB Share - PowerShell Module","low","a1d89efd-6d69-416b-3004-ec9c460a863d"
"Remote PowerShell Session (PS Module)","high","d8bf9898-a71e-347a-25d6-1fde2e2925e6"
"Invoke-Obfuscation Via Use MSHTA - PowerShell Module","high","6ead282b-ed6b-7f68-1ed2-b8f5fb092b4e"
"Suspicious Get-ADDBAccount Usage","high","85b06a92-2ad6-ef34-57c3-fac694f74095"
"Alternate PowerShell Hosts - PowerShell Module","medium","b7826f95-a54d-d6e4-d4e0-38998c4eb8d7"
"Invoke-Obfuscation STDIN+ Launcher - PowerShell Module","high","c539a450-9d59-8ac3-1709-f3b5f2e5a989"
"Invoke-Obfuscation Via Stdin - PowerShell Module","high","58925ff0-2936-8ebd-4c28-8fdbb8ac19a8"
"SyncAppvPublishingServer Bypass Powershell Restriction - PS Module","medium","9863342f-1e0e-72c5-8faa-674337cd6d2b"
"Suspicious PowerShell Invocations - Generic - PowerShell Module","high","e27c3517-69ca-c8c3-fc57-c4baba10867f"
"Invoke-Obfuscation CLIP+ Launcher - PowerShell Module","high","7a595cb6-87c9-7d42-5bf9-f404e939d500"
"Suspicious Get Local Groups Information","low","300dbe85-b7a0-be0b-aa57-321c1ee97848"
"Malicious PowerShell Scripts - PoshModule","high","a26b0227-f81e-097b-19ba-ffbb04417ccc"
"Invoke-Obfuscation VAR++ LAUNCHER OBFUSCATION - PowerShell Module","high","b2064db0-e465-72c2-edcc-57cfd9676207"
"Suspicious PowerShell Download","medium","12f93a4e-cd0e-18d7-6969-b345ecc8d40a"
"Netcat The Powershell Version - PowerShell Module","medium","65efb931-2d64-dea1-b559-544498a9b6f8"
"Suspicious PowerShell Invocations - Generic","high","391b98f2-3f42-0d06-a295-18a2aa29d39a"
"SyncAppvPublishingServer Execution to Bypass Powershell Restriction","medium","349e3bb4-b72b-193d-810e-7d9c145b863e"
"Suspicious PowerShell Invocations - Specific","high","3db961f4-6217-4957-b717-e5955c82d6e5"
"PwSh Scriptblock","informational","0f3b1343-65a5-4879-b512-9d61b0e4e3ba"
"Potentially Malicious PwSh","medium","73be1519-4648-4ed7-b305-605504afc242"
"Execution via CL_Mutexverifiers.ps1 (2 Lines)","high","97408cc2-d2e8-83dd-1f84-93da08e9f191"
"Execution via CL_Invocation.ps1 (2 Lines)","high","13cf4134-564b-abdb-c83e-dac3ba9bac3c"
"Windows Mail App Mailbox Access Via PowerShell Script","medium","aac8a133-780e-35ed-5d52-60a568765afb"
"Potential Data Exfiltration Over SMTP Via Send-MailMessage Cmdlet","medium","87face0d-1383-7cc4-2da9-2a5da8b81325"
"Compress-Archive Cmdlet Execution","low","c0483a49-1049-db52-97c5-ed73a6063b93"
"Potential Registry Reconnaissance Via PowerShell Script","medium","822b05a7-afa1-99c7-fc49-578330c9bf81"
"SMB over QUIC Via PowerShell Script","medium","b3c17af7-4207-0100-fe3c-3730a1c40c82"
"Use Of Remove-Item to Delete File - ScriptBlock","low","6e77c76e-375f-3378-fb5b-0d55e078f8ad"
"New Windows Firewall Rule Added Via New-NetFirewallRule Cmdlet - ScriptBlock","low","40fd8a4e-3820-0edf-530e-53785ee863e9"
"WinAPI Function Calls Via PowerShell Scripts","medium","fc457d0e-1ed4-ecab-aa1f-bd5c4b53c2d9"
"WinAPI Library Calls Via PowerShell Scripts","medium","66cccc69-033d-56e2-a1e1-f190cc0a9ca0"
"Potential RemoteFXvGPUDisablement.EXE Abuse","high","29a3935d-0428-4f39-d39e-ec43c598b272"
"Suspicious Non PowerShell WSMAN COM Provider","medium","aedc0f64-b9e7-36d1-fd92-838fdf33eac3"
"Zip A Folder With PowerShell For Staging In Temp - PowerShell","medium","ee9681d0-6ba5-5eaf-9c8b-fe39afe542b9"
"Suspicious PowerShell Get Current User","low","43541d1d-9cb1-a49f-2fb9-4121c1302705"
"Powershell XML Execute Command","medium","f698fa3e-50d4-0a6b-4f65-9cc569e1a709"
"HackTool - WinPwn Execution - ScriptBlock","high","40e38653-158e-78ce-f816-60a159924dc9"
"Testing Usage of Uncommonly Used Port","medium","629a73b6-b63c-b6d1-5e2c-5d7ee3042f44"
"Windows Screen Capture with CopyFromScreen","medium","bf9ed747-37f2-803e-2a51-91d56622d6ba"
"Disable Powershell Command History","high","ebdae8b0-7b83-5602-356e-b214571cee19"
"Suspicious PowerShell Mailbox Export to Share - PS","critical","53ba1f6b-70f2-242f-1377-8dc22d806e78"
"Root Certificate Installed - PowerShell","medium","245734a0-22f3-d684-07a7-ed1cea011d8e"
"Suspicious Service DACL Modification Via Set-Service Cmdlet - PS","high","43de23b6-5e9c-142a-9e42-64992bede784"
"PowerShell Credential Prompt","high","77e99ce3-b834-1c0d-0fe8-ffd39f1bc29f"
"Active Directory Group Enumeration With Get-AdGroup","low","80aaec39-a75b-8ad7-ac46-14fd5159f93f"
"Suspicious PowerShell Download - Powershell Script","medium","e3888b82-f1d3-14e8-54e5-16b522dfd8a9"
"DSInternals Suspicious PowerShell Cmdlets - ScriptBlock","high","55d8816f-49cc-7135-b3b1-63d41ce23a01"
"Tamper Windows Defender - ScriptBlockLogging","high","6074ad34-a80f-fdd9-5c49-e1a2fc4572c4"
"Suspicious PowerShell Invocations - Generic","high","308e8029-d702-799b-6aea-82f749348b24"
"Potential Data Exfiltration Via Audio File","medium","4956629d-759b-2297-1edf-5751449384cb"
"Invoke-Obfuscation Obfuscated IEX Invocation - PowerShell","high","30be45df-1ada-4075-3586-5a3d6eda8cd3"
"PowerShell Set-Acl On Windows Folder - PsScript","high","82a11bd6-070f-3229-f413-73fe2ddd7018"
"Automated Collection Command PowerShell","medium","d7f88495-fd82-8062-2c13-6036a8358e39"
"Modify Group Policy Settings - ScriptBlockLogging","medium","0b0963db-269b-9351-ab12-4aa9d1f8a105"
"Potentially Suspicious Call To Win32_NTEventlogFile Class - PSScript","medium","72ba1398-c3d6-c1a6-9133-bc72ccaca90d"
"Winlogon Helper DLL","medium","de547eac-5fa2-bf69-1a62-760251de3870"
"Access to Browser Login Data","medium","0c3ed50a-e9ab-a1ab-192f-17494d3bcb53"
"PowerShell Web Access Installation - PsScript","high","802477a9-01ea-d5f8-2ff9-44285787d0f7"
"Recon Information for Export with PowerShell","medium","aa7ecfb4-5a28-3a35-0b06-35cdfed46928"
"Suspicious SSL Connection","low","57e275e0-10cf-be8d-39b2-027fbfeb2913"
"Invoke-Obfuscation CLIP+ Launcher - PowerShell","high","fd4e11cc-a1e1-264d-4545-f06b97371ed2"
"Abuse of Service Permissions to Hide Services Via Set-Service - PS","high","737309de-cb25-6cd6-de11-74ac6a587299"
"Potential Suspicious PowerShell Keywords","medium","12b5b805-7b4b-d153-35e2-2230d216346c"
"Potential Keylogger Activity","medium","6154995f-9153-aaa3-dc51-d3062506c78a"
"WMImplant Hack Tool","high","a91bd8f4-12c9-8c19-370c-2ddece54fd99"
"Invoke-Obfuscation Via Use MSHTA - PowerShell","high","d7307e8a-60da-106b-aeb8-c4ebd5c1fb6d"
"Unsigned AppX Installation Attempt Using Add-AppxPackage - PsScript","medium","649adb28-28ab-34b1-166d-cfffb0245bbd"
"Get-ADUser Enumeration Using UserAccountControl Flags","medium","0fb43313-1253-f71b-1a13-e10e073c1627"
"Add Windows Capability Via PowerShell Script","medium","8094e74c-0e24-f840-50c3-bfcdc98cd6a9"
"Invoke-Obfuscation Via Stdin - Powershell","high","e355cee1-576c-66ad-ccaf-3f4dfa5b541e"
"Create Volume Shadow Copy with Powershell","high","33f62d96-55cf-87d2-e9f0-0a5fff75a278"
"HackTool - Rubeus Execution - ScriptBlock","high","1296d31f-9f66-0be1-424b-a641f15c4475"
"Potential AMSI Bypass Script Using NULL Bits","medium","4502b93e-2c0d-56b8-7ce1-35523e4fb0ba"
"Suspicious IO.FileStream","medium","6454f2bf-2962-a90a-eec3-6c7bef6be08e"
"Malicious Nishang PowerShell Commandlets","high","79769f3b-efb3-9463-e114-7446d4361146"
"Powershell Create Scheduled Task","medium","977cdcc1-6d3a-a221-a03f-d794230e01ae"
"SyncAppvPublishingServer Execution to Bypass Powershell Restriction","medium","6ab29276-37b6-8501-afb8-33126a6a9918"
"Enumerate Credentials from Windows Credential Manager With PowerShell","medium","129010c2-32d8-8ae8-d3a5-cdd24744231e"
"Powershell DNSExfiltration","high","1dc5f777-bb62-c024-3838-e53492b5e574"
"User Discovery And Export Via Get-ADUser Cmdlet - PowerShell","medium","369a4eed-03b4-7aea-6309-c6d7173b0567"
"Invoke-Obfuscation Via Use Clip - Powershell","high","33811b3f-3506-6bff-bb4a-4250e7714358"
"Powershell Directory Enumeration","medium","13a97026-d21c-5c67-761d-537efe8f3fe7"
"Change User Agents with WebRequest","medium","efbceae5-07cf-4b09-fc03-df062b971e10"
"Enable Windows Remote Management","medium","b5223513-5e9d-2c11-1cf7-d980bfed58f5"
"Suspicious GetTypeFromCLSID ShellExecute","medium","9134b08c-39fa-8211-b3f5-5bd1839b9540"
"Disable-WindowsOptionalFeature Command PowerShell","high","cb989f20-ebb9-8b1b-a5d6-f98b3929346c"
"Potential Unconstrained Delegation Discovery Via Get-ADComputer - ScriptBlock","medium","c0fcc261-538c-247d-21ff-05b6d2cbdf07"
"Zip A Folder With PowerShell For Staging In Temp - PowerShell Script","medium","7778d03c-e7bd-53bb-1f84-6557e3ecf12d"
"Replace Desktop Wallpaper by Powershell","low","a427508a-2c94-8fdb-863f-555304b70605"
"PowerShell WMI Win32_Product Install MSI","medium","a91de133-e7bc-3e22-d4ec-af1bfe620409"
"Powershell Keylogging","medium","c9aa7755-6950-a83c-72f5-53d0eab019eb"
"Powershell Local Email Collection","medium","00ba998e-b435-22a6-2dbf-e85e1918b8a7"
"Suspicious X509Enrollment - Ps Script","medium","8acde15f-c52f-455b-127c-8de1892767e5"
"Import PowerShell Modules From Suspicious Directories","medium","0a3956ee-9813-55f3-ca74-4d00e9df5262"
"Invoke-Obfuscation STDIN+ Launcher - Powershell","high","a4545017-4d6d-c3bd-7fec-62214f01e6b2"
"Invoke-Obfuscation VAR++ LAUNCHER OBFUSCATION - PowerShell","high","70b65468-d1e8-0a6b-78c3-a458a95e477b"
"Extracting Information with PowerShell","medium","f9889db2-6490-a082-33a3-1b46dff5e2f1"
"Detected Windows Software Discovery - PowerShell","medium","abc8469f-9601-7199-13b7-9620478f5335"
"Suspicious Start-Process PassThru","medium","c6dce605-3bb0-c881-1c5c-f3e4e9d62577"
"PowerShell Script With File Upload Capabilities","low","4dc42aa9-1963-4ee8-e6ed-021575365449"
"Potential Invoke-Mimikatz PowerShell Script","high","b0c6066e-a243-d2f6-c744-990ed060759c"
"Suspicious Process Discovery With Get-Process","low","0e7ff574-cd58-3250-821d-47fedcc03db6"
"Malicious PowerShell Commandlets - ScriptBlock","high","247b332c-8cf3-11c1-bf63-2693c99a6082"
"Potential COM Objects Download Cradles Usage - PS Script","medium","8c8871af-c2f2-4671-9f1d-d6c3e90b7c42"
"Suspicious Invoke-Item From Mount-DiskImage","medium","a4fa5d2e-a803-b311-5ff7-669ada2d36eb"
"Request A Single Ticket via PowerShell","high","088701bf-4758-9a2a-76c0-2e148a7e122c"
"Veeam Backup Servers Credential Dumping Script Execution","high","5ac6d31e-76f4-b5ee-831e-7d076ff2dca6"
"Potential Suspicious Windows Feature Enabled","medium","c9326131-769a-8ba4-03f2-7d17f9847a50"
"PowerView PowerShell Cmdlets - ScriptBlock","high","cc813de1-cf1f-dd91-bcfb-3821610d9dfc"
"Malicious ShellIntel PowerShell Commandlets","high","e84977df-6377-368d-ed22-e05ee31e9947"
"Computer Discovery And Export Via Get-ADComputer Cmdlet - PowerShell","medium","a86c5f75-859a-89ac-20a4-ad3be80336c9"
"Potential RemoteFXvGPUDisablement.EXE Abuse - PowerShell ScriptBlock","high","9a9b4924-bf93-774d-4bee-a2d13260663c"
"PowerShell Remote Session Creation","medium","f1a1daa1-2c4e-6354-e062-1f80427eafc3"
"Suspicious Get Information for SMB Share","low","b3cb91b9-f3a8-1486-c398-1ea1e5183b3c"
"DirectorySearcher Powershell Exploitation","medium","d72c1916-ab63-11e1-1916-5e8b3822f133"
"PowerShell ADRecon Execution","high","cde108d4-944b-2594-02b8-61f2852260a1"
"Suspicious Get Local Groups Information - PowerShell","low","231be74a-ed58-7e55-d906-23131f589913"
"Password Policy Discovery With Get-AdDefaultDomainPasswordPolicy","low","3c8ea56a-ad16-8598-c24e-3fdd6b345dda"
"Suspicious Eventlog Clear","medium","a8e07a3d-571c-0d25-729b-fa16be9ea6c5"
"PSAsyncShell - Asynchronous TCP Reverse Shell","high","714c75ab-6bed-7c9d-462b-f7f9252e47e5"
"Silence.EDA Detection","critical","71d6a25b-6fe6-37e2-40bc-c4de171fbbc9"
"Powershell Token Obfuscation - Powershell","high","77af6d22-9887-7943-53f1-6a849e2e892d"
"Code Executed Via Office Add-in XLL File","high","f5ce4704-7343-4e6a-f741-f53b6d412d1f"
"Potential WinAPI Calls Via PowerShell Scripts","high","edeeb148-ce01-b5b8-a531-3b364b7fd191"
"Tamper Windows Defender Remove-MpPreference - ScriptBlockLogging","high","97e928f0-6985-66cd-fd2d-3783904a3c7c"
"Powershell Add Name Resolution Policy Table Rule","high","6dcad107-58f0-d885-7198-fe78bda1ff4b"
"Deletion of Volume Shadow Copies via WMI with PowerShell - PS Script","high","329df23d-a366-2e13-47f7-3c67cfb56f75"
"Delete Volume Shadow Copies via WMI with PowerShell - PS Script","high","baee41a3-2063-6125-778e-0d9710474c06"
"Disable of ETW Trace - Powershell","high","f1205c3a-b112-f060-2b3e-b43fd3460482"
"Suspicious PowerShell Mailbox SMTP Forward Rule","medium","516b2199-36c5-1a0d-13f4-87bcb22bc2bf"
"Automated Collection Bookmarks Using Get-ChildItem PowerShell","low","389e5737-c793-4d03-4191-fe78d2cc1dcb"
"Suspicious New-PSDrive to Admin Share","medium","9d0ff6ee-9967-a757-d8dc-cf3f3b3546b1"
"AADInternals PowerShell Cmdlets Execution - PsScript","high","61d6fe12-d403-c9b3-bc3f-fb10de58a4c3"
"Suspicious PowerShell WindowStyle Option","medium","d2c72fb1-8ebf-d5d3-1e88-80f15ba1079a"
"Clear PowerShell History - PowerShell","medium","36e3fc18-c21d-b046-86b0-9f14ccbb975e"
"PowerShell Hotfix Enumeration","medium","3bef19ed-f703-65eb-ab07-eebb20abdd4e"
"Suspicious Hyper-V Cmdlets","medium","94272bf4-116b-5204-4be6-69b2d5648fa4"
"Remove Account From Domain Admin Group","medium","33a52335-678e-da31-eb46-d7cfc302cb3e"
"Powershell Timestomp","medium","b32352bf-5bcb-d3c9-a9eb-4bbf8ed85654"
"Suspicious GPO Discovery With Get-GPO","low","43254631-95ca-6c3c-11bc-16c19f09e819"
"Potential PowerShell Obfuscation Using Character Join","low","5ab8284b-d017-c68c-31ff-6c9b51010284"
"Invoke-Obfuscation COMPRESS OBFUSCATION - PowerShell","medium","527063ac-15f7-52e7-7ced-4348087aaec7"
"PowerShell Get-Process LSASS in ScriptBlock","high","77515874-226e-d597-815a-9962d2951358"
"Security Software Discovery Via Powershell Script","medium","2e7d9c7a-fab3-d015-8552-39acf165059c"
"Potential Packet Capture Activity Via Start-NetEventSession - ScriptBlock","medium","0357e3d7-f8fe-0601-0902-364f4cdbed81"
"Live Memory Dump Using Powershell","high","f279fcb8-4560-0d0c-3bee-043b32f9b3fb"
"Powershell LocalAccount Manipulation","medium","ec4cdf41-f053-d3af-6a68-973d32bacdff"
"Potential Persistence Via PowerShell User Profile Using Add-Content","medium","aa566d46-235a-b467-88ed-434788883da2"
"Potential PowerShell Obfuscation Using Alias Cmdlets","low","2b77aa85-451b-f506-eda5-71bef0c2bfa6"
"Manipulation of User Computer or Group Security Principals Across AD","medium","2843f0fc-1a75-2140-6c4c-f5c296073941"
"PowerShell Deleted Mounted Share","medium","2182e106-ae16-770c-3022-a67abacb10d0"
"Suspicious TCP Tunnel Via PowerShell Script","medium","f0174af7-3de1-3209-5f81-f96ff9d1f5c6"
"Invoke-Obfuscation Via Use Rundll32 - PowerShell","high","00b36dc9-4f98-0596-4487-6aabd187344b"
"Suspicious Mount-DiskImage","low","a47e2fc3-e3e3-9763-7cb2-d19df00ad719"
"Windows Firewall Profile Disabled","medium","b935d5dd-d5e5-51df-9c4f-dc30aec0a6e6"
"PowerShell Script With File Hostname Resolving Capabilities","medium","53f26dda-d088-32eb-a704-03c3b6986b49"
"Registry-Free Process Scope COR_PROFILER","medium","98d89b85-61ea-f78b-d1fa-cd52182b6b28"
"Windows Defender Exclusions Added - PowerShell","medium","addd9852-1b8e-322b-77eb-4a749ba8dca6"
"Powershell WMI Persistence","medium","6535a2a7-e5ce-2a80-726d-8eb3b016084d"
"PowerShell ShellCode","high","7f3d30e6-1565-4e09-7b13-5d7c5b8b0947"
"PowerShell Script Change Permission Via Set-Acl - PsScript","low","3586407d-f3a3-bb2d-8467-0956e15af381"
"PowerShell Write-EventLog Usage","medium","777d9383-7a6f-f82a-d22e-2f05f433bc9b"
"Change PowerShell Policies to an Insecure Level - PowerShell","medium","e5a59479-4ded-f6c3-ab4d-8d464128fbb2"
"Powershell MsXml COM Object","medium","a57f49ff-b916-4527-881f-bef76dc42248"
"Suspicious PowerShell Invocations - Specific","high","8655ba53-c937-dbcf-91c5-3125219b9497"
"Powershell Install a DLL in System Directory","high","b16a0b26-d586-4ff7-f200-20927037e55f"
"Powershell Store File In Alternate Data Stream","medium","a547df68-c62d-4415-9a62-cbe68f006b9e"
"PowerShell ICMP Exfiltration","medium","647d9a85-b4af-a355-a79e-5ad4afa553bd"
"PowerShell PSAttack","high","8dd08d08-a638-c74c-8e7a-07d55d3b3318"
"Troubleshooting Pack Cmdlet Execution","medium","297f849b-2dff-ce76-be52-6f50e2f5d205"
"NTFS Alternate Data Stream","high","e701b235-4663-b82b-8611-b51a0706589b"
"Potential Active Directory Enumeration Using AD Module - PsScript","medium","80fe1b47-6d38-9fc5-9535-6afd04b55a15"
"Certificate Exported Via PowerShell - ScriptBlock","medium","58f5980d-d851-77b4-2f1f-945eb2d3e430"
"Powershell Sensitive File Discovery","medium","246287be-b277-41bc-b620-83f82d6006d3"
"Powershell Detect Virtualization Environment","medium","654b7573-5b04-0352-d832-f32c333f4a56"
"AD Groups Or Users Enumeration Using PowerShell - ScriptBlock","low","956b0dfd-4aba-c0c7-7608-c7889eea8a67"
"Suspicious Connection to Remote Account","low","f9203bdd-ca24-aced-1e79-b9cfd7936099"
"Invoke-Obfuscation RUNDLL LAUNCHER - PowerShell","medium","c4a3b240-b0c5-3eed-9e95-d3db01157764"
"Suspicious Unblock-File","medium","b56d246e-e1d8-6f33-6e90-65864d130915"
"PowerShell Create Local User","medium","b49ece4c-cd58-540c-62a8-d4189dc45f3e"
"Powershell Execute Batch Script","medium","57b18282-5df7-0636-ee86-75ccdbe55519"
"Potential In-Memory Execution Using Reflection.Assembly","medium","4ee64eb7-79b5-d7d2-9ba7-89616409e7d0"
"Execute Invoke-command on Remote Host","medium","a4603d3c-bb7c-8db0-3d8a-23f265190006"
"Invoke-Obfuscation VAR+ Launcher - PowerShell","high","1bc61c35-56bd-6b9c-12fc-5513d8aa80d2"
"Suspicious FromBase64String Usage On Gzip Archive - Ps Script","medium","0f434135-833f-9c32-7048-ab3c6264d3d2"
"Suspicious Get-ADReplAccount","medium","e59d0c87-f426-154d-9744-50e5cb987c9f"
"Powershell Suspicious Win32_PnPEntity","low","12bd77fd-a44d-6373-2156-4c29b22d9c85"
"AMSI Bypass Pattern Assembly GetType","high","b38a93d1-2bd3-6583-6617-1f4bdccf8589"
"WMIC Unquoted Services Path Lookup - PowerShell","medium","437f4723-94d2-dfdf-cd3b-9cf2e0af0fba"
"Active Directory Computers Enumeration With Get-AdComputer","low","00f90856-99dc-9ecd-31ca-0d93b7577bac"
"Malicious PowerShell Keywords","medium","4397a007-0c10-834b-0796-7b4b1b931b03"
"Usage Of Web Request Commands And Cmdlets - ScriptBlock","medium","eddbf1d6-60c9-96f5-4cdf-f0947b3aad8f"
"Dump Credentials from Windows Credential Manager With PowerShell","medium","437d2bdc-4ee9-913b-42df-e947c8193f88"
"Service Registry Permissions Weakness Check","medium","ce3cad3a-afec-9acc-c763-9b4cb0fd5ece"
"Potential Persistence Via Security Descriptors - ScriptBlock","high","b46c37cc-554c-aab3-0744-26f3a5ace219"
"Clearing Windows Console History","high","1a8e1936-4b07-2bb2-ef3a-2cdf7d294a56"
"Potential POWERTRASH Script Execution","high","b8581aed-5481-addc-116b-c0b8384cecfc"
"Potential APT FIN7 POWERHOLD Execution","high","384a6ce5-d681-2e87-6a43-6e1a0eb0f316"
"Lace Tempest PowerShell Evidence Eraser","high","017266c4-7b12-7c2b-d2b3-0b8ffe973af8"
"Lace Tempest PowerShell Launcher","high","47fec53e-ab09-f2b7-fc9a-c7364aefc12f"
"Suspicious PowerShell Download","medium","12f93a4e-cd0e-18d7-6969-b345ecc8d40a"
"PrintNightmare Powershell Exploitation","high","5eb9df17-06bd-e2fe-8871-13bd6bd36406"
"Execution via CL_Invocation.ps1 - Powershell","high","6587075c-6239-f6e1-4717-4b7972b1c086"
"Execution via CL_Mutexverifiers.ps1","high","f427b1c7-bbad-7bd6-bb0f-65b6170a3cb5"
"Suspicious Get-WmiObject","low","830423bc-69e4-b19b-5474-414e4ab0c365"
"Suspicious PowerShell Invocations - Generic","high","391b98f2-3f42-0d06-a295-18a2aa29d39a"
"Accessing Encrypted Credentials from Google Chrome Login Database","medium","63c2d41b-b587-6c55-c256-9c0bb392f0a9"
"Powershell File and Directory Discovery","low","113fcff8-c64d-8743-88b7-9ff2539cde7d"
"AzureHound PowerShell Commands","high","74dda95a-b492-e2ee-4a33-b22a41a1cb57"
"SyncAppvPublishingServer Execution to Bypass Powershell Restriction","medium","349e3bb4-b72b-193d-810e-7d9c145b863e"
"Dnscat Execution","critical","47d13687-edae-dafa-bdab-416474c95f53"
"Suspicious PowerShell Invocations - Specific","high","3db961f4-6217-4957-b717-e5955c82d6e5"
"NTLM Auth","informational","4fbe94b0-577a-4f77-9b13-250e27d440fa"
"Valid Users Failing to Authenticate from Single Source Using NTLM","medium","ddbbe639-21f9-7b39-ae7d-821e490d6130"
"Failed NTLM Logins with Different Accounts from Single Source System","medium","203aaec0-5613-4fdc-42b3-a021d6f853dc"
"Invalid Users Failing To Authenticate From Single Source Using NTLM","medium","bbd02091-a432-94b3-8041-9f776b681fc2"
"Possible AS-REP Roasting (RC4 Kerberos Ticket Req)","medium","dee2a01e-5d7c-45b4-aec3-ad9722f2165a"
"Kerberos TGT Requested","informational","d9f336ea-bb16-4a35-8a9c-183216b8d59c"
"Kerberos Manipulation","high","978525c2-97aa-f0e4-8c11-3cf81ea3379b"
"PetitPotam Suspicious Kerberos TGT Request","high","cd01c787-aad1-bbed-5842-aa8e58410aad"
"Valid Users Failing to Authenticate From Single Source Using Kerberos","medium","32ce2d24-3d1c-2f81-cddb-d64b33fe9247"
"Invalid Users Failing To Authenticate From Source Using Kerberos","medium","74eaa0ee-05a7-86a5-a7a8-076952aa764d"
"Disabled Users Failing To Authenticate From Source Using Kerberos","medium","c6c2c3e3-44ee-516c-9e48-63b304511787"
"Possible Kerberoasting (RC4 Kerberos Ticket Req)","medium","f19849e7-b5ba-404b-a731-9b624d7f6d19"
"Kerberos Service Ticket Requested","informational","da6257f3-cf49-464a-96fc-c84a7ce20636"
"Suspicious Kerberos RC4 Ticket Encryption","medium","2d20edf4-6141-35c5-e54f-3c578082d1d3"
"Kerberoasting Activity - Initial Query","medium","4386b4e0-f268-42a6-b91d-e3bb768976d6"
"Kerberos Manipulation","high","978525c2-97aa-f0e4-8c11-3cf81ea3379b"
"Computer Account Created","informational","42a0a842-2b82-4b2d-8e44-5580fb6c38db"
"Add or Remove Computer from DC","low","b607775d-e3fe-3fb8-c40e-4e52b3fbe44d"
"Possible DC Shadow Attack","medium","c800ccd5-5818-b0f5-1a12-f9c8bc24a433"
"Potential Zerologon (CVE-2020-1472) Exploitation","high","7d4b25c3-0cef-1638-1d47-bb18acda0e6c"
"Active Directory User Backdoors","high","c9123898-04d5-2d3b-5e2b-7c0c92111480"
